,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
0,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
1,혼다 Legend::V6 3.5,"5,000","1,890","1,480","2,850"
1,기아 더 뉴 K5::디럭스,"4,845","1,835","1,465","2,795"
2,기아 더 뉴 K5::디럭스,"4,845","1,835","1,465","2,795"
3,기아 더 뉴 K5::럭셔리,"4,845","1,835","1,465","2,795"
4,기아 더 뉴 K5::프레스티지,"4,845","1,835","1,465","2,795"
5,기아 더 뉴 K5::노블레스,"4,845","1,835","1,465","2,795"
1,현대 쏘나타(YF)::LPi 렌터카 Smart,"4,820","1,835","1,470","2,795"
1,현대 쏘나타(YF)::LPi Style,"4,820","1,835","1,470","2,795"
2,현대 쏘나타(YF)::LPi Style,"4,820","1,835","1,470","2,795"
1,토요타 Sienna::3.5 LIMTED,"5,085","1,985","1,790","3,030"
2,토요타 Sienna::3.5 LIMTED AWD,"5,085","1,985","1,790","3,030"
1,푸조 3008::1.6 e-HDi Active,"4,365","1,835","1,640","2,615"
2,푸조 3008::2.0 HDi Allure,"4,365","1,835","1,640","2,615"
1,아우디 A5::RS5 4.2 FSi Quattro,"4,649","1,860","1,366","2,751"
2,아우디 A5::RS5 4.2 FSi Quattro Exclusive,"4,649","1,860","1,366","2,751"
1,인피니티 Q70::3.0d,"4,980","1,845","1,500","2,900"
2,인피니티 Q70::3.7 Style,"4,980","1,845","1,500","2,900"
3,인피니티 Q70::3.7 Premium,"4,980","1,845","1,500","2,900"
4,인피니티 Q70::3.7 Exclusive,"4,980","1,845","1,500","2,900"
5,인피니티 Q70::3.7 AWD,"4,980","1,845","1,515","2,900"
1,캐딜락 ATS::럭셔리,"4,645","1,805","1,425","2,775"
2,캐딜락 ATS::프리미엄,"4,645","1,805","1,425","2,775"
3,캐딜락 ATS::AWD,"4,645","1,805","1,425","2,775"
1,현대 LF쏘나타::2.0 T-GDi Smart,"4,855","1,865","1,475","2,805"
2,현대 LF쏘나타::2.0 T-GDi Exclusive,"4,855","1,865","1,475","2,805"
1,현대 LF쏘나타::2.0 CVVL Style,"4,855","1,865","1,475","2,805"
2,현대 LF쏘나타::2.0 CVVL Smart,"4,855","1,865","1,475","2,805"
3,현대 LF쏘나타::2.0 CVVL Premium,"4,855","1,865","1,475","2,805"
4,현대 LF쏘나타::2.4 GDi Style,"4,855","1,865","1,475","2,805"
5,현대 LF쏘나타::2.4 GDi Exclusive,"4,855","1,865","1,475","2,805"
1,현대 LF쏘나타::Smart,"4,855","1,865","1,475","2,805"
2,현대 LF쏘나타::Smart,"4,855","1,865","1,475","2,805"
3,현대 LF쏘나타::Modern,"4,855","1,865","1,475","2,805"
4,현대 LF쏘나타::Premium,"4,855","1,865","1,475","2,805"
5,현대 LF쏘나타::Premium Special,"4,855","1,865","1,475","2,805"
1,현대 LF쏘나타::Smart 왼발장애,"4,855","1,865","1,475","2,805"
2,현대 LF쏘나타::Smart 왼손왼발장애,"4,855","1,865","1,475","2,805"
3,현대 LF쏘나타::Smart 왼손오른발 장애,"4,855","1,865","1,475","2,805"
4,현대 LF쏘나타::Smart 오른손오른발 장애,"4,855","1,865","1,475","2,805"
5,현대 LF쏘나타::Smart 오른발장애,"4,855","1,865","1,475","2,805"
6,현대 LF쏘나타::Smart 양발장애,"4,855","1,865","1,475","2,805"
7,현대 LF쏘나타::Smart 오른손장애,"4,855","1,865","1,475","2,805"
8,현대 LF쏘나타::Modern 왼발장애,"4,855","1,865","1,475","2,805"
9,현대 LF쏘나타::Modern 왼손왼발장애,"4,855","1,865","1,475","2,805"
10,현대 LF쏘나타::Modern 왼손오른발 장애,"4,855","1,865","1,475","2,805"
11,현대 LF쏘나타::Modern 오른손오른발 장애,"4,855","1,865","1,475","2,805"
12,현대 LF쏘나타::Modern 오른발장애,"4,855","1,865","1,475","2,805"
13,현대 LF쏘나타::Modern 양발장애,"4,855","1,865","1,475","2,805"
14,현대 LF쏘나타::Modern 오른손장애,"4,855","1,865","1,475","2,805"
1,현대 LF쏘나타::Style,"4,855","1,865","1,475","2,805"
2,현대 LF쏘나타::Style,"4,855","1,865","1,475","2,805"
3,현대 LF쏘나타::Modern,"4,855","1,865","1,475","2,805"
4,현대 LF쏘나타::Premium,"4,855","1,865","1,475","2,805"
1,렉서스 NX::200t Supreme,"4,630","1,845","1,645","2,660"
2,렉서스 NX::200t Executive,"4,630","1,845","1,645","2,660"
3,렉서스 NX::200t F-Sport,"4,630","1,845","1,645","2,660"
1,현대 투싼(2017)::스타일,"4,475","1,850","1,645","2,670"
2,현대 투싼(2017)::스타일 피버 패키지Ⅰ,"4,475","1,850","1,645","2,670"
3,현대 투싼(2017)::모던,"4,475","1,850","1,650","2,670"
4,현대 투싼(2017)::모던 피버 패키지Ⅱ,"4,475","1,850","1,650","2,670"
1,렉서스 IS::IS250 Premium,"4,665","1,810","1,430","2,800"
2,렉서스 IS::IS250 Supreme,"4,665","1,810","1,430","2,800"
3,렉서스 IS::IS250 Executive,"4,665","1,810","1,430","2,800"
4,렉서스 IS::IS250 F-Sport,"4,665","1,810","1,430","2,800"
1,닛산 Pathfinder::3.5,"5,010","1,960","1,770","2,900"
1,BMW 2 Series Active Tourer::Joy,"4,342","1,800","1,555","2,670"
2,BMW 2 Series Active Tourer::Luxury,"4,342","1,800","1,555","2,670"
1,르노삼성 QM5 네오::SE,"4,525","1,855","1,695","2,690"
2,르노삼성 QM5 네오::LE,"4,525","1,855","1,710","2,690"
3,르노삼성 QM5 네오::RE,"4,525","1,855","1,710","2,690"
4,르노삼성 QM5 네오::R4U Limited Edition,"4,525","1,855","1,710","2,690"
1,르노삼성 QM5 네오::SE,"4,525","1,855","1,695","2,690"
2,르노삼성 QM5 네오::LE,"4,525","1,855","1,710","2,690"
3,르노삼성 QM5 네오::RE,"4,525","1,855","1,710","2,690"
4,르노삼성 QM5 네오::R4U Limited Edition,"4,525","1,855","1,710","2,690"
1,르노삼성 QM5 네오::SE,"4,525","1,855","1,695","2,690"
2,르노삼성 QM5 네오::LE,"4,525","1,855","1,710","2,690"
3,르노삼성 QM5 네오::RE,"4,525","1,855","1,710","2,690"
4,르노삼성 QM5 네오::R4U Limited Edition,"4,525","1,855","1,710","2,690"
1,르노삼성 SM3 Z.E.::RE,"4,750","1,810","1,460","2,700"
1,쉐보레 카마로::3.6 CAMARO,"4,835","1,920","1,375","2,850"
1,쉐보레 캡티바::LT,"4,670","1,850","1,755","2,705"
2,쉐보레 캡티바::LT 프리미엄,"4,670","1,850","1,755","2,705"
3,쉐보레 캡티바::어드벤처 패키지,"4,670","1,850","1,755","2,705"
4,쉐보레 캡티바::LTZ,"4,670","1,850","1,755","2,705"
1,기아 더 뉴 K5::디럭스,"4,845","1,835","1,465","2,795"
2,기아 더 뉴 K5::디럭스,"4,845","1,835","1,465","2,795"
3,기아 더 뉴 K5::프레스티지,"4,845","1,835","1,465","2,795"
1,기아 K7::3.0 LPI 디럭스,"4,970","1,850","1,475","2,845"
2,기아 K7::3.0 LPI 럭셔리,"4,970","1,850","1,475","2,845"
1,기아 카니발::럭셔리,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레스티지,"5,115","1,985","2,040","3,060"
1,기아 카니발::럭셔리,"5,115","1,985","2,040","3,060"
2,기아 카니발::프레스티지,"5,115","1,985","2,040","3,060"
1,푸조 2008::Active (악티브),"4,160","1,740","1,555","2,540"
2,푸조 2008::LED Track Edition,"4,160","1,740","1,555","2,540"
3,푸조 2008::Feline S (펠린S),"4,160","1,740","1,555","2,540"
4,푸조 2008::Feline L (펠린L),"4,160","1,740","1,555","2,540"
5,푸조 2008::Feline Iconic Edition,"4,160","1,740","1,555","2,540"
1,현대 벨로스터::Younique (유니크),"4,220","1,790","1,400","2,650"
2,현대 벨로스터::Younique (유니크),"4,220","1,790","1,400","2,650"
3,현대 벨로스터::PYL,"4,220","1,790","1,400","2,650"
4,현대 벨로스터::PYL DCT,"4,220","1,790","1,400","2,650"
1,현대 벨로스터::D-Spec (디스펙),"4,250","1,805","1,400","2,650"
2,현대 벨로스터::D-Spec (디스펙) DCT,"4,250","1,805","1,400","2,650"
1,벤츠 CLA-Class::CLA 200 CDI,"4,630","1,775","1,435","2,700"
2,벤츠 CLA-Class::CLA 200 CDI 4Matic,"4,630","1,775","1,435","2,700"
3,벤츠 CLA-Class::CLA 200 CDI NAVI,"4,630","1,775","1,435","2,700"
4,벤츠 CLA-Class::CLA 250 4Matic,"4,690","1,775","1,430","2,700"
5,벤츠 CLA-Class::CLA 45 AMG 4Matic,"4,690","1,775","1,430","2,700"
1,현대 투싼(2017)::스타일,"4,475","1,850","1,645","2,670"
2,현대 투싼(2017)::스타일,"4,475","1,850","1,645","2,670"
3,현대 투싼(2017)::모던,"4,475","1,850","1,645","2,670"
4,현대 투싼(2017)::프리미엄,"4,475","1,850","1,650","2,670"
1,현대 제네시스(DH)::G330 Modern (모던),"4,990","1,890","1,480","3,010"
2,현대 제네시스(DH)::G330 Premium (프리미엄),"4,990","1,890","1,480","3,010"
3,현대 제네시스(DH)::G380 Exclusive (익스클루시브),"4,990","1,890","1,480","3,010"
4,현대 제네시스(DH)::G380 Prestige (프레스티지),"4,990","1,890","1,480","3,010"
5,현대 제네시스(DH)::G380 Finest Edition (파이니스트에디션),"4,990","1,890","1,480","3,010"
1,현대 제네시스(DH)::G330 Modern (모던),"4,990","1,890","1,480","3,010"
2,현대 제네시스(DH)::G330 Premium (프리미엄),"4,990","1,890","1,480","3,010"
3,현대 제네시스(DH)::G380 Exclusive (익스클루시브),"4,990","1,890","1,480","3,010"
4,현대 제네시스(DH)::G380 Prestige (프레스티지),"4,990","1,890","1,480","3,010"
5,현대 제네시스(DH)::G380 Finest Edition (파이니스트에디션),"4,990","1,890","1,480","3,010"
1,애스턴마틴 Vantage::V8 4.7,"4,380","1,865","1,255","2,600"
2,애스턴마틴 Vantage::V8 4.7S,"4,385","1,865","1,260","2,600"
3,애스턴마틴 Vantage::V12 6.0S,"4,385","1,865","1,250","2,600"
1,애스턴마틴 Vantage::V8 4.7,"4,380","1,865","1,255","2,600"
2,애스턴마틴 Vantage::V8 4.7S,"4,385","1,865","1,270","2,600"
3,애스턴마틴 Vantage::V12 6.0S,"4,385","1,865","1,260","2,600"
1,쉐보레 더 넥스트 스파크::승용밴,"3,595","1,595","1,475","2,385"
2,쉐보레 더 넥스트 스파크::승용밴,"3,595","1,595","1,475","2,385"
3,쉐보레 더 넥스트 스파크::LS,"3,595","1,595","1,475","2,385"
