"","차명","전장","전고","전폭","vh","cluster"
"1","",4784,1336,1896,9070464,"1"
"2","1M",4380,1420,1803,7897140,"2"
"3","1Series",4337,1424,1759,7628783,"2"
"4","200",4885,1490,1870,9134950,"1"
"5","2008",4160,1555,1740,7238400,"2"
"6","206",3863,1391,1671,6455073,"4"
"7","207",4042,1452,1745,7053290,"2"
"8","208",3852,1550,1740,6702480,"4"
"9","2Series",4432,1418,1774,7862368,"2"
"10","2SeriesActiveTourer",4342,1555,1800,7815600,"2"
"11","3008",4365,1640,1835,8009775,"2"
"12","300C",5028,1517,1891,9507948,"1"
"13","307",4357,1490,1758,7659606,"2"
"14","308",4384,1488,1821,7983264,"2"
"15","370Z",4250,1315,1845,7841250,"2"
"16","3Series",4583,1420,1807,8281481,"2"
"17","407",4701,1455,1816,8537016,"2"
"18","458Italia",4527,1213,1937,8768799,"1"
"19","458Speciale",4571,1203,1951,8918021,"1"
"20","458Spider",4527,1211,1937,8768799,"1"
"21","488GTB",4568,1213,1952,8916736,"1"
"22","488Spider",4568,1211,1952,8916736,"1"
"23","4Series",4638,1381,1826,8468988,"2"
"24","500",3550,1555,1640,5822000,"4"
"25","500C",3550,1555,1640,5822000,"4"
"26","500X",4263,1617,1795,7652085,"2"
"27","508",4811,1469,1843,8866673,"1"
"28","5Series",4912,1482,1865,9160880,"1"
"29","607",4896,1447,1835,8984160,"1"
"30","650S",4512,1201,1940,8753280,"1"
"31","6Series",4930,1377,1888,9307840,"1"
"32","718Boxster",4379,1280,1801,7886579,"2"
"33","718Cayman",4379,1280,1801,7886579,"2"
"34","7Series",5163,1480,1902,9820026,"1"
"35","807",4727,1759,1850,8744950,"1"
"36","86",4240,1425,1775,7526000,"2"
"37","911",4498,1295,1843,8289814,"2"
"38","918Spyder",4643,1167,1940,9007420,"1"
"39","A-Class",4318,1442,1770,7642860,"2"
"40","A1",3973,1420,1744,6928912,"4"
"41","A3",4382,1417,1786,7826252,"2"
"42","A4",4658,1423,1808,8421664,"2"
"43","A5",4658,1379,1855,8640590,"2"
"44","A6",4923,1456,1867,9191241,"1"
"45","A7",4980,1418,1911,9516780,"1"
"46","A8",5163,1456,1922,9923286,"1"
"47","Accord",4926,1471,1847,9098322,"1"
"48","Altima",4864,1470,1830,8901120,"1"
"49","ALTIMA",4825,1470,1800,8685000,"1"
"50","AMGGT",4557,1300,1940,8840580,"1"
"51","ATS",4652,1421,1813,8434076,"2"
"52","Avalon",4960,1460,1835,9101600,"1"
"53","Aventador",4798,1136,2030,9739940,"1"
"54","B-class",4400,1555,1780,7832000,"2"
"55","B-Class",4321,1590,1784,7708664,"2"
"56","Beetle",4280,1485,1810,7746800,"2"
"57","Bora",4376,1446,1735,7592360,"2"
"58","Boxster",4379,1280,1801,7886579,"2"
"59","C-Class",4656,1444,1790,8334240,"2"
"60","C30",4258,1445,1780,7579240,"2"
"61","C4Cactus",4157,1480,1729,7187453,"2"
"62","C4Picasso",4430,1610,1825,8084750,"2"
"63","C70",4652,1405,1825,8489900,"2"
"64","California",4562,1321,1908,8704296,"1"
"65","CaliforniaT",4570,1322,1910,8728700,"1"
"66","Camry",4831,1470,1820,8792420,"1"
"67","Cayenne",4851,1703,1941,9415791,"1"
"68","Cayman",4375,1295,1801,7879375,"2"
"69","CC",4800,1420,1855,8904000,"1"
"70","Cherokee",4590,1739,1850,8491500,"2"
"71","Civic",4536,1437,1756,7965216,"2"
"72","CIVIC",4542,1437,1750,7948500,"2"
"73","CKMiniVan",4020,1880,1610,6472200,"4"
"74","CL-Class",5045,1403,1881,9489645,"1"
"75","CLA-Class",4651,1433,1775,8255525,"2"
"76","CLK-Class",4603,1398,1731,7967793,"2"
"77","CLS-Class",4952,1416,1888,9349376,"1"
"78","Clubman",4121,1435,1747,7199387,"2"
"79","Commander",4785,1830,1900,9091500,"1"
"80","Compass",4440,1669,1804,8009760,"2"
"81","Continental",4806,1398,1944,9342864,"1"
"82","Convertible",3769,1414,1700,6407300,"4"
"83","Corolla",4540,1465,1760,7990400,"2"
"84","Countryman",4107,1551,1789,7347423,"2"
"85","Coupe",3736,1382,1683,6287688,"4"
"86","CR-V",4539,1682,1820,8260980,"2"
"87","CR-Z",4080,1395,1740,7099200,"2"
"88","Crossfire",4060,1310,1765,7165900,"2"
"89","Crosstour",5015,1560,1900,9528500,"1"
"90","CT",4340,1444,1765,7660100,"2"
"91","CT6",5185,1485,1880,9747800,"1"
"92","CTS",4880,1454,1850,9028000,"1"
"93","CUBE",3980,1690,1695,6746100,"4"
"94","DB9",4715,1286,1968,9279120,"1"
"95","deVille",5260,1440,1890,9941400,"1"
"96","Discovery",4836,2011,1968,9517248,"1"
"97","DISCOVERY3",4835,1844,1996,9650660,"1"
"98","DiscoverySport",4590,1724,1964,9014760,"1"
"99","DS3",3950,1480,1720,6794000,"4"
"100","DS4",4275,1525,1810,7737750,"2"
"101","DS4Crossback",4285,1535,1810,7755850,"2"
"102","DS5",4530,1510,1870,8471100,"2"
"103","DTS",5275,1465,1900,10022500,"1"
"104","E-Class",4844,1452,1836,8893584,"1"
"105","Eclipse",4600,1365,1835,8441000,"2"
"106","Elise",3818,1117,1719,6563142,"4"
"107","EOS",4407,1437,1791,7892937,"2"
"108","EQ900",5220,1496,1915,9996300,"1"
"109","ES",4892,1447,1820,8903440,"1"
"110","Escalade",5128,1930,2003,10271384,"1"
"111","Escape",4518,1696,1836,8295048,"2"
"112","ESCAPE",4425,1777,1817,8040225,"2"
"113","Evora",4357,1227,1914,8339298,"2"
