,전장,전폭,전고,축거,회사,차량형태,차명
0,4525,1725,1425,2610,현대,1.5 VVT GL 기본형,뉴아반떼XD
1,4525,1725,1425,2610,현대,1.5 VVT GL 기본형,뉴아반떼XD
2,4525,1725,1425,2610,현대,1.5 VVT GL 고급형,뉴아반떼XD
3,4525,1725,1425,2610,현대,1.5 VVT GL 고급형,뉴아반떼XD
4,4525,1725,1425,2610,현대,1.5 VVT GLS 기본형,뉴아반떼XD
5,4525,1725,1425,2610,현대,1.5 VVT GLS 기본형,뉴아반떼XD
6,4525,1725,1425,2610,현대,1.5 VVT DELUXE 기본형,뉴아반떼XD
7,4525,1725,1425,2610,현대,1.5 VVT DELUXE 기본형,뉴아반떼XD
8,4525,1725,1425,2610,현대,1.5 VVT GOLD 기본형,뉴아반떼XD
9,4525,1725,1425,2610,현대,1.5 VVT GOLD 기본형,뉴아반떼XD
10,4525,1725,1425,2610,현대,1.5 VVT GOLD 고급형,뉴아반떼XD
11,4525,1725,1425,2610,현대,1.5 VVT GOLD 고급형,뉴아반떼XD
12,4525,1725,1425,2610,현대,1.5 VVT GOLD 최고급형,뉴아반떼XD
13,4525,1725,1425,2610,현대,1.5 VVT GOLD 최고급형,뉴아반떼XD
14,4525,1725,1425,2610,현대,2.0 VVT GOLD 고급형,뉴아반떼XD
15,4525,1725,1425,2610,현대,2.0 VVT GOLD 고급형,뉴아반떼XD
16,4525,1725,1425,2610,현대,2.0 VVT GOLD 최고급형,뉴아반떼XD
17,4520,1720,1425,2610,현대,1.5 VVT SPORTS 기본형,뉴아반떼XD
18,4520,1720,1425,2610,현대,1.5 VVT SPORTS 기본형,뉴아반떼XD
19,4520,1720,1425,2610,현대,1.5 VVT SPORTS 고급형,뉴아반떼XD
20,4520,1720,1425,2610,현대,1.5 VVT SPORTS 고급형,뉴아반떼XD
21,4520,1720,1425,2610,현대,1.5 VVT SPORTS 최고급형,뉴아반떼XD
22,4520,1720,1425,2610,현대,1.5 VVT SPORTS 최고급형,뉴아반떼XD
23,4520,1720,1425,2610,현대,2.0 VVT RACING 고급형,뉴아반떼XD
24,4520,1720,1425,2610,현대,2.0 VVT RACING 고급형,뉴아반떼XD
25,4520,1720,1425,2610,현대,2.0 VVT RACING 최고급형,뉴아반떼XD
26,4520,1720,1425,2610,현대,2.0 VVT RACING 최고급형,뉴아반떼XD
27,4875,1825,1420,2750,현대,XG R20,뉴그랜저XG
28,4875,1825,1420,2750,현대,XG R20 STD,뉴그랜저XG
29,4875,1825,1420,2750,현대,XG R20 DLX,뉴그랜저XG
30,4875,1825,1420,2750,현대,XG S20 STD,뉴그랜저XG
31,4875,1825,1420,2750,현대,XG R25 STD,뉴그랜저XG
32,4875,1825,1420,2750,현대,XG S20 DLX,뉴그랜저XG
33,4875,1825,1420,2750,현대,XG R25 DLX,뉴그랜저XG
34,4875,1825,1420,2750,현대,XG S25 STD,뉴그랜저XG
35,4875,1825,1420,2750,현대,XG S30 STD,뉴그랜저XG
36,4875,1825,1420,2750,현대,XG S25 DLX,뉴그랜저XG
37,4875,1825,1420,2750,현대,XG S25 SUP,뉴그랜저XG
38,4875,1825,1420,2750,현대,XG S30 SUP,뉴그랜저XG
39,4260,1680,1395,2440,현대,1.3 GL STD,뉴베르나
40,4260,1680,1395,2440,현대,1.5 GV STD,뉴베르나
41,4260,1680,1395,2440,현대,1.5 GD STD,뉴베르나
42,4260,1680,1395,2440,현대,1.5 GV DLX,뉴베르나
43,4260,1680,1395,2440,현대,1.5 GD DLX,뉴베르나
44,4260,1680,1395,2440,현대,1.5 GV SUP,뉴베르나
45,4260,1680,1395,2440,현대,1.5 GD SUP,뉴베르나
46,4260,1680,1395,2440,현대,1.3 L STD,뉴베르나
47,4260,1680,1395,2440,현대,1.3 L DLX,뉴베르나
48,4260,1680,1395,2440,현대,1.3 GL STD,뉴베르나
49,4260,1680,1395,2440,현대,1.5 GV STD,뉴베르나
50,4260,1680,1395,2440,현대,1.5 GD STD,뉴베르나
51,4260,1680,1395,2440,현대,1.5 GV DLX,뉴베르나
52,4260,1680,1395,2440,현대,1.5 GD DLX,뉴베르나
53,4260,1680,1395,2440,현대,1.5 GV SUP,뉴베르나
54,4260,1680,1395,2440,현대,1.5 GD SUP,뉴베르나
55,4260,1680,1395,2440,현대,1.5 GD STD,뉴베르나
56,4260,1680,1395,2440,현대,1.5 GD DLX,뉴베르나
57,5135,1825,1465,2900,쌍용,CM400S TRIUMP,뉴체어맨
58,5135,1825,1465,2900,쌍용,CM400S MAJESTY,뉴체어맨
59,5135,1825,1465,2900,쌍용,CM500S TRIUMP,뉴체어맨
60,5135,1825,1465,2900,쌍용,CM500S MAJESTY,뉴체어맨
61,5135,1825,1465,2900,쌍용,CM600S TRIUMP,뉴체어맨
62,5135,1825,1465,2900,쌍용,CM600S MAJESTY,뉴체어맨
63,5435,1825,1475,3200,쌍용,CM600L LIMOUSINE,뉴체어맨
64,4250,1670,1495,2480,한국GM,1.5 DK,뉴칼로스
65,4250,1670,1495,2480,한국GM,1.5 LK,뉴칼로스
66,4250,1670,1495,2480,한국GM,1.5 DK,뉴칼로스
67,4250,1670,1495,2480,한국GM,1.5 DIAMOND,뉴칼로스
68,4250,1670,1495,2480,한국GM,1.5 LK,뉴칼로스
69,4250,1670,1495,2480,한국GM,1.5 DIAMOND,뉴칼로스
70,4480,1735,1470,2610,기아,1.5 CVVT L STD,쎄라토
71,4480,1735,1470,2610,기아,1.5 CVVT L DLX,쎄라토
72,4480,1735,1470,2610,기아,1.5 CVVT LX DLX,쎄라토
73,4480,1735,1470,2610,기아,1.5 CVVT LX SUP,쎄라토
74,4480,1735,1470,2610,기아,1.5 CVVT SLX DLX,쎄라토
75,4480,1735,1470,2610,기아,1.5 CVVT GOLD SUP,쎄라토
76,4480,1735,1470,2610,기아,1.5 CVVT SLX SAFETY,쎄라토
77,4480,1735,1470,2610,기아,1.5 CVVT GOLD SAFETY,쎄라토
78,4480,1735,1470,2610,기아,2.0 CVVT GOLD SUP,쎄라토
79,4480,1735,1470,2610,기아,2.0 CVVT GOLD SAFETY,쎄라토
80,5120,1870,1480,2840,현대,GS 300(VALUE),에쿠스
81,5120,1870,1480,2840,현대,GS 300,에쿠스
82,5120,1870,1480,2840,현대,JS 300,에쿠스
83,5120,1870,1480,2840,현대,GS 350,에쿠스
84,5120,1870,1480,2840,현대,JS 300 VIP,에쿠스
